Gene_Symbol	type	file	classification
ALDH1L2	Oncogene	OncoKBv20240704	Oncogene
ALDH2	CosmicCensus, TumorSuppressorGene	Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	TumorSuppressorGene
ALK	Kinase, CosmicCensus, Oncogene	Kincat_Hsap.08.02.txt, Census_allTue Sep 17 18_59_30 2019.tsv, PfamKinase, OncoKBv20240704	Oncogene
ALK1	Kinase	Kincat_Hsap.08.02.txt, OncoKBv20240704	NA
ALK2	Kinase	Kincat_Hsap.08.02.txt, OncoKBv20240704	NA
ALK4	Kinase	Kincat_Hsap.08.02.txt, OncoKBv20240704	NA
ALK7	Kinase	Kincat_Hsap.08.02.txt, OncoKBv20240704	NA
ALOX12B	Oncogene, TumorSuppressorGene	OncoKBv20240704	Oncogene, TumorSuppressorGene
ALOX15	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
ALOX15B	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
ALPK1	Kinase	PfamKinase, OncoKBv20240704	NA
ALPK2	Kinase	PfamKinase, OncoKBv20240704	NA
ALPK3	Kinase	PfamKinase, OncoKBv20240704	NA
ALPL	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
ALX1	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
ALX3	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
ALX4	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
AMER1	TumorSuppressorGene, CosmicCensus	TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	TumorSuppressorGene
AMH	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
AMHR2	Kinase	PfamKinase, OncoKBv20240704	NA
AMPKa1	Kinase	Kincat_Hsap.08.02.txt, OncoKBv20240704	NA
AMPKa2	Kinase	Kincat_Hsap.08.02.txt, OncoKBv20240704	NA
ANAPC1	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
ANGPTL4	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
ANHX	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
ANK1	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	NA
ANKK1	Kinase	PfamKinase, OncoKBv20240704	NA
ANKRD11	TumorSuppressorGene	OncoKBv20240704	TumorSuppressorGene
ANKRD26	Oncogene	OncoKBv20240704	Oncogene
ANKRD3	Kinase	Kincat_Hsap.08.02.txt, OncoKBv20240704	NA
ANKZF1	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
ANP32A	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
ANPa	Kinase	Kincat_Hsap.08.02.txt, OncoKBv20240704	NA
ANPb	Kinase	Kincat_Hsap.08.02.txt, OncoKBv20240704	NA
ANXA1	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
ANXA7	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
APAF1	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
APC	TumorSuppressorGene, CosmicCensus	TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	TumorSuppressorGene
APITD1	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
APLNR	Oncogene, TumorSuppressorGene	OncoKBv20240704	Oncogene, TumorSuppressorGene
APOBEC3B	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	NA
AR	CosmicCensus, TranscriptionFactor, Oncogene	Census_allTue Sep 17 18_59_30 2019.tsv, addTF_JL.tsv, OncoKBv20240704	Oncogene
ARAF	Kinase, CosmicCensus, Oncogene	Kincat_Hsap.08.02.txt, Census_allTue Sep 17 18_59_30 2019.tsv, PfamKinase, OncoKBv20240704	Oncogene
ARAFps	Kinase	Kincat_Hsap.08.02.txt, OncoKBv20240704	NA
ARF1	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
ARG1	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
ARGFX	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
ARHGAP26	CosmicCensus, Oncogene, TumorSuppressorGene	Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	Oncogene, TumorSuppressorGene
ARHGAP29	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
ARHGAP35	TranscriptionFactor, Oncogene, TumorSuppressorGene	addTF_JL.tsv, OncoKBv20240704	Oncogene, TumorSuppressorGene
ARHGAP5	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	NA
ARHGEF10	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	NA
ARHGEF10L	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	NA
ARHGEF12	TumorSuppressorGene, CosmicCensus, Oncogene	TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	Oncogene, TumorSuppressorGene
ARHGEF28	Oncogene	OncoKBv20240704	Oncogene
ARID1A	TumorSuppressorGene, CosmicCensus	TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	TumorSuppressorGene
ARID1B	CosmicCensus, TumorSuppressorGene	Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	TumorSuppressorGene
ARID2	TumorSuppressorGene, CosmicCensus, TranscriptionFactor	TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, addTF_JL.tsv, OncoKBv20240704	TumorSuppressorGene
ARID3A	TranscriptionFactor, TumorSuppressorGene	addTF_JL.tsv, OncoKBv20240704	TumorSuppressorGene
ARID3B	TranscriptionFactor, Oncogene	addTF_JL.tsv, OncoKBv20240704	Oncogene
ARID3C	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
ARID4A	TumorSuppressorGene	OncoKBv20240704	TumorSuppressorGene
ARID4B	TumorSuppressorGene	OncoKBv20240704	TumorSuppressorGene
ARID5A	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
ARID5B	TranscriptionFactor, TumorSuppressorGene	addTF_JL.tsv, OncoKBv20240704	TumorSuppressorGene
ARL11	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
ARL6IP5	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
ARMC10	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
ARMC5	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
ARNT	CosmicCensus, TranscriptionFactor	Census_allTue Sep 17 18_59_30 2019.tsv, addTF_JL.tsv, OncoKBv20240704	NA
ARNT2	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
ARNTL	TumorSuppressorGene, TranscriptionFactor	TumorSuppressorGene.txt, addTF_JL.tsv, OncoKBv20240704	NA
ARNTL2	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
ARX	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
ASCL1	TumorSuppressorGene, TranscriptionFactor	TumorSuppressorGene.txt, addTF_JL.tsv, OncoKBv20240704	NA
ASCL2	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
ASCL3	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
ASCL4	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
ASCL5	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
ASH1L	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
ASPSCR1	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	NA
ASS1	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
ASXL1	TumorSuppressorGene, CosmicCensus	TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	TumorSuppressorGene
ASXL2	CosmicCensus, TumorSuppressorGene	Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	TumorSuppressorGene
ATF1	CosmicCensus, TranscriptionFactor, Oncogene	Census_allTue Sep 17 18_59_30 2019.tsv, addTF_JL.tsv, OncoKBv20240704	Oncogene
ATF2	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
ATF3	TumorSuppressorGene, TranscriptionFactor	TumorSuppressorGene.txt, addTF_JL.tsv, OncoKBv20240704	NA
ATF4	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
ATF5	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
ATF6	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
ATF6B	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
ATF7	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
ATIC	CosmicCensus, Oncogene	Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	Oncogene
ATM	Kinase, TumorSuppressorGene, CosmicCensus	Kincat_Hsap.08.02.txt, TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, PfamKinase, OncoKBv20240704	TumorSuppressorGene
ATMIN	TumorSuppressorGene, TranscriptionFactor	TumorSuppressorGene.txt, addTF_JL.tsv, OncoKBv20240704	NA
ATOH1	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
ATOH7	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
ATOH8	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
ATP1A1	CosmicCensus, Oncogene, TumorSuppressorGene	Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	Oncogene, TumorSuppressorGene
ATP2B3	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	NA
ATP6V1B2	TumorSuppressorGene	OncoKBv20240704	TumorSuppressorGene
ATR	Kinase, TumorSuppressorGene, CosmicCensus	Kincat_Hsap.08.02.txt, TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, PfamKinase, OncoKBv20240704	TumorSuppressorGene
ATRIP	TumorSuppressorGene	OncoKBv20240704	TumorSuppressorGene
ATRX	CosmicCensus, TumorSuppressorGene	Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	TumorSuppressorGene
ATXN2	TumorSuppressorGene	OncoKBv20240704	TumorSuppressorGene
ATXN7	Oncogene	OncoKBv20240704	Oncogene
AURKA	Kinase, Oncogene	PfamKinase, OncoKBv20240704	Oncogene
AURKB	Kinase, Oncogene	PfamKinase, OncoKBv20240704	Oncogene
AURKC	Kinase	PfamKinase, OncoKBv20240704	NA
AXIN1	TumorSuppressorGene, CosmicCensus	TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	TumorSuppressorGene
AXIN2	TumorSuppressorGene, CosmicCensus	TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	TumorSuppressorGene
AXL	Kinase, Oncogene	Kincat_Hsap.08.02.txt, PfamKinase, OncoKBv20240704	Oncogene
AZGP1	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
AlphaK1	Kinase	Kincat_Hsap.08.02.txt, OncoKBv20240704	NA
AlphaK2	Kinase	Kincat_Hsap.08.02.txt, OncoKBv20240704	NA
AlphaK3	Kinase	Kincat_Hsap.08.02.txt, OncoKBv20240704	NA
AurA	Kinase	Kincat_Hsap.08.02.txt, OncoKBv20240704	NA
AurAps1	Kinase	Kincat_Hsap.08.02.txt, OncoKBv20240704	NA
AurAps2	Kinase	Kincat_Hsap.08.02.txt, OncoKBv20240704	NA
AurB	Kinase	Kincat_Hsap.08.02.txt, OncoKBv20240704	NA
AurBps1	Kinase	Kincat_Hsap.08.02.txt, OncoKBv20240704	NA
AurC	Kinase	Kincat_Hsap.08.02.txt, OncoKBv20240704	NA
B2M	CosmicCensus, TumorSuppressorGene	Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	TumorSuppressorGene
BAALC	Oncogene	OncoKBv20240704	Oncogene
BACH1	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
BACH2	TranscriptionFactor, TumorSuppressorGene	addTF_JL.tsv, OncoKBv20240704	TumorSuppressorGene
BANP	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
BAP1	TumorSuppressorGene, CosmicCensus	TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	TumorSuppressorGene
BARD1	TumorSuppressorGene, CosmicCensus	TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	TumorSuppressorGene
BARHL1	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
BARHL2	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
BARK1	Kinase	Kincat_Hsap.08.02.txt, OncoKBv20240704	NA
BARK2	Kinase	Kincat_Hsap.08.02.txt, OncoKBv20240704	NA
BARX1	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
BARX2	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
BASP1	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
BATF	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
BATF2	TumorSuppressorGene, TranscriptionFactor	TumorSuppressorGene.txt, addTF_JL.tsv, OncoKBv20240704	NA
BATF3	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
BAX	TumorSuppressorGene, CosmicCensus	TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	NA
BAZ1A	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	NA
BAZ2A	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
BAZ2B	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
BBC3	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	TumorSuppressorGene
BBX	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
BCKDK	Kinase	Kincat_Hsap.08.02.txt, OncoKBv20240704	NA
BCL10	TumorSuppressorGene, CosmicCensus	TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	TumorSuppressorGene
BCL11A	CosmicCensus, TranscriptionFactor	Census_allTue Sep 17 18_59_30 2019.tsv, addTF_JL.tsv, OncoKBv20240704	NA
BCL11B	CosmicCensus, TranscriptionFactor, TumorSuppressorGene	Census_allTue Sep 17 18_59_30 2019.tsv, addTF_JL.tsv, OncoKBv20240704	TumorSuppressorGene
BCL2	CosmicCensus, Oncogene	Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	Oncogene
BCL2L11	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	TumorSuppressorGene
BCL2L12	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	NA
BCL3	CosmicCensus, Oncogene	Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	Oncogene
BCL6	CosmicCensus, TranscriptionFactor, Oncogene	Census_allTue Sep 17 18_59_30 2019.tsv, addTF_JL.tsv, OncoKBv20240704	Oncogene
BCL6B	TumorSuppressorGene, TranscriptionFactor	TumorSuppressorGene.txt, addTF_JL.tsv, OncoKBv20240704	NA
BCL7A	CosmicCensus, TumorSuppressorGene	Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	TumorSuppressorGene
BCL9	CosmicCensus, Oncogene	Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	Oncogene
BCL9L	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	NA
BCLAF1	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	NA
BCOR	TumorSuppressorGene, CosmicCensus	TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	TumorSuppressorGene
BCORL1	TumorSuppressorGene, CosmicCensus	TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	TumorSuppressorGene
BCR	Kinase, TumorSuppressorGene, CosmicCensus, Oncogene	Kincat_Hsap.08.02.txt, TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	Oncogene
BECN1	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
BEX2	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
BHLHA15	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
BHLHA9	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
BHLHE22	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
BHLHE23	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
BHLHE40	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
BHLHE41	TumorSuppressorGene, TranscriptionFactor	TumorSuppressorGene.txt, addTF_JL.tsv, OncoKBv20240704	NA
BICRA	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
BIK	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
BIKE	Kinase	Kincat_Hsap.08.02.txt, OncoKBv20240704	NA
BIN1	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
BIRC3	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	NA
BIRC6	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	NA
BLCAP	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
BLID	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
BLK	Kinase	Kincat_Hsap.08.02.txt, PfamKinase, OncoKBv20240704	NA
BLM	TumorSuppressorGene, CosmicCensus	TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	TumorSuppressorGene
BLNK	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
BMAL1	TumorSuppressorGene, TranscriptionFactor	TumorSuppressorGene.txt, addTF_JL.tsv, OncoKBv20240704	NA
BMAL2	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
BMF	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
BMP10	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
BMP2	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
BMP2K	Kinase	PfamKinase, OncoKBv20240704	NA
BMP4	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
BMP5	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	NA
BMPR1A	Kinase, TumorSuppressorGene, CosmicCensus	Kincat_Hsap.08.02.txt, TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, PfamKinase, OncoKBv20240704	TumorSuppressorGene
BMPR1Aps1	Kinase	Kincat_Hsap.08.02.txt, OncoKBv20240704	NA
BMPR1Aps2	Kinase	Kincat_Hsap.08.02.txt, OncoKBv20240704	NA
BMPR1B	Kinase	Kincat_Hsap.08.02.txt, PfamKinase, OncoKBv20240704	NA
BMPR2	Kinase, TumorSuppressorGene	Kincat_Hsap.08.02.txt, TumorSuppressorGene.txt, PfamKinase, OncoKBv20240704	NA
BMX	Kinase	Kincat_Hsap.08.02.txt, PfamKinase, OncoKBv20240704	NA
BNC1	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
BNC2	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
BNIP3L	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
BORCS8-MEF2B	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
BPTF	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
